2025-04-26 02:20:52.790 | INFO     | app.main:lifespan:14 - Starting application...
2025-04-26 02:20:52.803 | INFO     | app.logging_setup:start_metrics_server:81 - Prometheus metrics server started on port 8001
2025-04-26 02:20:52.810 | INFO     | app.cache:init_redis_pool:27 - Successfully connected to Redis at redis://localhost:6379/0
2025-04-26 02:20:56.769 | INFO     | app.emotion_pipeline:load_models:51 - Loaded emotion model labels: dict_values(['admiration', 'amusement', 'anger', 'annoyance', 'approval', 'caring', 'confusion', 'curiosity', 'desire', 'disappointment', 'disapproval', 'disgust', 'embarrassment', 'excitement', 'fear', 'gratitude', 'grief', 'joy', 'love', 'nervousness', 'optimism', 'pride', 'realization', 'relief', 'remorse', 'sadness', 'surprise', 'neutral'])
2025-04-26 02:20:56.819 | INFO     | app.llm_service:configure_genai:25 - Google GenAI client configured.
2025-04-26 02:20:56.821 | INFO     | app.main:lifespan:23 - Redis cache cleared on startup.
2025-04-26 02:20:56.821 | INFO     | app.main:lifespan:26 - Startup complete.
2025-04-26 02:20:59.044 | INFO     | app.main:lifespan:28 - Shutting down...
2025-04-26 02:20:59.046 | ERROR    | app.cache:close_redis_pool:49 - Error closing Redis connection pool: 'Redis' object has no attribute 'wait_closed'
